"Exemplar.Row","Exemplar.Col","Jaccard"
101001,101015,0.294
101002,101015,0.158
101003,101015,0.375
101004,101015,0.222
101005,101015,0.294
101006,101015,0.294
101007,101015,0.294
101008,101015,0.048
101009,101015,0.158
101010,101015,0.294
101011,101015,0.158
101012,101015,0.375
101013,101015,0.222
101014,101015,0.158
101015,101015,1
101016,101015,0.222
101017,101015,0.294
101018,101015,0.158
101019,101015,0.294
101020,101015,0.222
101001,101016,0.222
101002,101016,0.158
101003,101016,0.222
101004,101016,0.158
101005,101016,0.222
101006,101016,0.222
101007,101016,0.294
101008,101016,0.222
101009,101016,0.1
101010,101016,0.294
101011,101016,0.048
101012,101016,0.158
101013,101016,0.222
101014,101016,0.222
101015,101016,0.222
101016,101016,1
101017,101016,0.294
101018,101016,0.1
101019,101016,0.158
101020,101016,0.294
101001,101017,0.375
101002,101017,0.048
101003,101017,0.375
101004,101017,0.222
101005,101017,0.1
101006,101017,0.158
101007,101017,0.222
101008,101017,0.222
101009,101017,0.158
101010,101017,0.222
101011,101017,0.222
101012,101017,0.294
101013,101017,0.158
101014,101017,0.222
101015,101017,0.294
101016,101017,0.294
101017,101017,1
101018,101017,0.158
101019,101017,0.158
101020,101017,0.375
101001,101018,0.158
101002,101018,0.158
101003,101018,0.158
101004,101018,0.158
101005,101018,0.294
101006,101018,0.158
101007,101018,0.1
101008,101018,0.158
101009,101018,0.294
101010,101018,0.048
101011,101018,0.222
101012,101018,0.048
101013,101018,0.294
101014,101018,0.158
101015,101018,0.158
101016,101018,0.1
101017,101018,0.158
101018,101018,1
101019,101018,0
101020,101018,0.1
101001,101019,0.158
101002,101019,0.222
101003,101019,0.294
101004,101019,0.048
101005,101019,0.1
101006,101019,0.1
101007,101019,0.571
101008,101019,0.158
101009,101019,0.158
101010,101019,0.222
101011,101019,0.158
101012,101019,0.375
101013,101019,0.1
101014,101019,0.222
101015,101019,0.294
101016,101019,0.158
101017,101019,0.158
101018,101019,0
101019,101019,1
101020,101019,0.375
101001,101020,0.158
101002,101020,0.1
101003,101020,0.294
101004,101020,0.158
101005,101020,0.1
101006,101020,0.1
101007,101020,0.294
101008,101020,0.158
101009,101020,0.1
101010,101020,0.294
101011,101020,0.158
101012,101020,0.294
101013,101020,0.222
101014,101020,0.375
101015,101020,0.222
101016,101020,0.294
101017,101020,0.375
101018,101020,0.1
101019,101020,0.375
101020,101020,1
