"Exemplar.1","Exemplar.2","Group","Jaccard"
4,15,"P3M1",0.1
4,16,"P3M1",0.294
4,17,"P3M1",0.158
4,18,"P3M1",0.222
4,19,"P3M1",0.1
4,20,"P3M1",0.158
5,6,"P3M1",0.1
5,7,"P3M1",0.375
5,8,"P3M1",0.1
5,9,"P3M1",0.222
5,10,"P3M1",0.222
5,11,"P3M1",0.158
5,12,"P3M1",0.048
5,13,"P3M1",0.048
5,14,"P3M1",0.1
5,15,"P3M1",0.1
5,16,"P3M1",0.048
5,17,"P3M1",0.158
5,18,"P3M1",0.158
5,19,"P3M1",0.1
5,20,"P3M1",0.1
6,7,"P3M1",0.158
6,8,"P3M1",0
6,9,"P3M1",0.294
6,10,"P3M1",0.1
6,11,"P3M1",0.294
6,12,"P3M1",0.158
6,13,"P3M1",0.048
6,14,"P3M1",0.048
6,15,"P3M1",0.222
6,16,"P3M1",0.048
6,17,"P3M1",0.1
6,18,"P3M1",0.048
6,19,"P3M1",0.375
6,20,"P3M1",0.294
7,8,"P3M1",0.048
7,9,"P3M1",0.375
7,10,"P3M1",0.1
7,11,"P3M1",0.1
7,12,"P3M1",0
7,13,"P3M1",0.048
7,14,"P3M1",0.048
7,15,"P3M1",0.222
7,16,"P3M1",0.048
7,17,"P3M1",0.1
7,18,"P3M1",0.222
7,19,"P3M1",0.222
7,20,"P3M1",0.158
8,9,"P3M1",0
8,10,"P3M1",0.158
8,11,"P3M1",0.158
8,12,"P3M1",0.294
8,13,"P3M1",0.467
8,14,"P3M1",0.294
8,15,"P3M1",0.158
8,16,"P3M1",0.158
8,17,"P3M1",0.222
8,18,"P3M1",0.294
8,19,"P3M1",0.048
8,20,"P3M1",0.1
9,10,"P3M1",0.1
9,11,"P3M1",0.048
9,12,"P3M1",0.048
9,13,"P3M1",0.1
9,14,"P3M1",0.1
9,15,"P3M1",0.222
9,16,"P3M1",0.048
9,17,"P3M1",0.158
9,18,"P3M1",0.048
9,19,"P3M1",0.158
9,20,"P3M1",0.1
10,11,"P3M1",0.222
10,12,"P3M1",0.294
10,13,"P3M1",0.158
10,14,"P3M1",0.048
10,15,"P3M1",0.1
10,16,"P3M1",0.222
10,17,"P3M1",0.222
10,18,"P3M1",0.158
10,19,"P3M1",0.1
10,20,"P3M1",0.158
11,12,"P3M1",0.158
11,13,"P3M1",0.1
11,14,"P3M1",0.158
11,15,"P3M1",0.222
11,16,"P3M1",0.1
11,17,"P3M1",0.048
11,18,"P3M1",0.158
11,19,"P3M1",0.375
11,20,"P3M1",0.375
12,13,"P3M1",0.294
12,14,"P3M1",0.1
12,15,"P3M1",0.1
12,16,"P3M1",0.1
12,17,"P3M1",0.375
12,18,"P3M1",0.1
12,19,"P3M1",0.048
12,20,"P3M1",0.1
13,14,"P3M1",0.294
13,15,"P3M1",0.294
13,16,"P3M1",0.294
13,17,"P3M1",0.375
13,18,"P3M1",0.1
13,19,"P3M1",0.1
13,20,"P3M1",0.1
14,15,"P3M1",0.1
14,16,"P3M1",0.222
14,17,"P3M1",0.1
14,18,"P3M1",0.1
14,19,"P3M1",0.048
14,20,"P3M1",0.1
15,16,"P3M1",0.048
15,17,"P3M1",0.1
15,18,"P3M1",0
15,19,"P3M1",0.375
15,20,"P3M1",0.467
16,17,"P3M1",0.1
16,18,"P3M1",0.375
16,19,"P3M1",0.048
16,20,"P3M1",0.048
17,18,"P3M1",0.1
17,19,"P3M1",0.048
17,20,"P3M1",0.048
18,19,"P3M1",0.048
18,20,"P3M1",0
19,20,"P3M1",0.571
1,2,"P31M",0
1,3,"P31M",0.158
1,4,"P31M",0.158
1,5,"P31M",0.1
1,6,"P31M",0.048
1,7,"P31M",0.048
1,8,"P31M",0.1
1,9,"P31M",0.375
1,10,"P31M",0.1
1,11,"P31M",0.158
1,12,"P31M",0.294
1,13,"P31M",0.158
1,14,"P31M",0.048
1,15,"P31M",0.158
1,16,"P31M",0
1,17,"P31M",0.158
1,18,"P31M",0.048
1,19,"P31M",0.222
1,20,"P31M",0
2,3,"P31M",0.048
2,4,"P31M",0.1
2,5,"P31M",0.1
2,6,"P31M",0.158
2,7,"P31M",0.571
2,8,"P31M",0.048
2,9,"P31M",0.158
2,10,"P31M",0.158
2,11,"P31M",0.048
2,12,"P31M",0.1
2,13,"P31M",0.048
2,14,"P31M",0.375
2,15,"P31M",0.1
2,16,"P31M",0.222
2,17,"P31M",0.375
2,18,"P31M",0.1
2,19,"P31M",0.1
2,20,"P31M",0.375
3,4,"P31M",0.1
3,5,"P31M",0.294
3,6,"P31M",0.048
3,7,"P31M",0.1
3,8,"P31M",0.222
3,9,"P31M",0.158
3,10,"P31M",0.158
3,11,"P31M",0.048
3,12,"P31M",0.158
3,13,"P31M",0.1
3,14,"P31M",0.048
3,15,"P31M",0.1
3,16,"P31M",0.1
3,17,"P31M",0.1
3,18,"P31M",0.1
3,19,"P31M",0.222
3,20,"P31M",0.048
4,5,"P31M",0.1
4,6,"P31M",0.222
4,7,"P31M",0.048
4,8,"P31M",0.222
4,9,"P31M",0.375
4,10,"P31M",0.048
4,11,"P31M",0.222
4,12,"P31M",0.048
4,13,"P31M",0.158
4,14,"P31M",0.158
4,15,"P31M",0.158
4,16,"P31M",0.158
4,17,"P31M",0.1
4,18,"P31M",0.294
4,19,"P31M",0.158
4,20,"P31M",0.158
5,6,"P31M",0.1
5,7,"P31M",0.222
5,8,"P31M",0.1
5,9,"P31M",0.048
5,10,"P31M",0.048
5,11,"P31M",0.048
5,12,"P31M",0.294
5,13,"P31M",0.048
5,14,"P31M",0
5,15,"P31M",0.1
5,16,"P31M",0.1
5,17,"P31M",0.048
5,18,"P31M",0.294
5,19,"P31M",0
5,20,"P31M",0.048
6,7,"P31M",0.1
6,8,"P31M",0.222
6,9,"P31M",0.048
6,10,"P31M",0.158
6,11,"P31M",0.222
6,12,"P31M",0.158
6,13,"P31M",0.158
6,14,"P31M",0.158
6,15,"P31M",0.294
6,16,"P31M",0.375
6,17,"P31M",0.222
6,18,"P31M",0.222
6,19,"P31M",0.222
6,20,"P31M",0.1
7,8,"P31M",0.1
7,9,"P31M",0.048
7,10,"P31M",0.158
7,11,"P31M",0
7,12,"P31M",0.158
7,13,"P31M",0.1
7,14,"P31M",0.222
7,15,"P31M",0.048
7,16,"P31M",0.158
7,17,"P31M",0.222
7,18,"P31M",0.048
7,19,"P31M",0.048
7,20,"P31M",0.375
8,9,"P31M",0.048
8,10,"P31M",0.1
8,11,"P31M",0.048
8,12,"P31M",0.222
8,13,"P31M",0.222
8,14,"P31M",0.1
8,15,"P31M",0.222
8,16,"P31M",0.158
8,17,"P31M",0.1
8,18,"P31M",0.158
8,19,"P31M",0.222
8,20,"P31M",0.048
9,10,"P31M",0.158
9,11,"P31M",0.158
9,12,"P31M",0.1
