"Exemplar.Row","Exemplar.Col","Jaccard"
116006,116015,0.05
116007,116015,0.105
116008,116015,0.05
116009,116015,0.105
116010,116015,0.4
116011,116015,0.105
116012,116015,0.05
116013,116015,0.05
116014,116015,0
116015,116015,1
116016,116015,0.167
116017,116015,0
116018,116015,0.167
116019,116015,0.05
116020,116015,0.05
116001,116016,0.1
116002,116016,0.294
116003,116016,0.158
116004,116016,0.158
116005,116016,0.045
116006,116016,0.158
116007,116016,0.222
116008,116016,0.048
116009,116016,0.158
116010,116016,0.222
116011,116016,0.1
116012,116016,0.222
116013,116016,0.158
116014,116016,0.158
116015,116016,0.167
116016,116016,1
116017,116016,0.158
116018,116016,0.158
116019,116016,0.1
116020,116016,0
116001,116017,0.222
116002,116017,0.158
116003,116017,0.222
116004,116017,0.1
116005,116017,0.095
116006,116017,0.048
116007,116017,0.048
116008,116017,0
116009,116017,0
116010,116017,0.1
116011,116017,0.1
116012,116017,0.158
116013,116017,0.158
116014,116017,0.467
116015,116017,0
116016,116017,0.158
116017,116017,1
116018,116017,0.294
116019,116017,0.222
116020,116017,0.1
116001,116018,0.222
116002,116018,0.1
116003,116018,0.048
116004,116018,0.1
116005,116018,0
116006,116018,0.1
116007,116018,0.048
116008,116018,0.048
116009,116018,0.048
116010,116018,0.158
116011,116018,0
116012,116018,0.1
116013,116018,0.158
116014,116018,0.222
116015,116018,0.167
116016,116018,0.158
116017,116018,0.294
116018,116018,1
116019,116018,0.222
116020,116018,0.048
116001,116019,0.158
116002,116019,0.158
116003,116019,0.158
116004,116019,0.1
116005,116019,0.211
116006,116019,0.375
116007,116019,0.1
116008,116019,0.048
116009,116019,0.048
116010,116019,0.048
116011,116019,0.048
116012,116019,0.1
116013,116019,0.467
116014,116019,0.158
116015,116019,0.05
116016,116019,0.1
116017,116019,0.222
116018,116019,0.222
116019,116019,1
116020,116019,0.048
116001,116020,0.158
116002,116020,0.1
116003,116020,0.1
116004,116020,0.1
116005,116020,0.211
116006,116020,0.048
116007,116020,0.048
116008,116020,0.375
116009,116020,0.1
116010,116020,0
116011,116020,0.1
116012,116020,0.158
116013,116020,0
116014,116020,0.158
116015,116020,0.05
116016,116020,0
116017,116020,0.1
116018,116020,0.048
116019,116020,0.048
116020,116020,1
