"Exemplar.Row","Exemplar.Col","Jaccard"
117003,117015,0.375
117004,117015,0.1
117005,117015,0.158
117006,117015,0.158
117007,117015,0.222
117008,117015,0.1
117009,117015,0.1
117010,117015,0.158
117011,117015,0.294
117012,117015,0.375
117013,117015,0.222
117014,117015,0
117015,117015,1
117016,117015,0.1
117017,117015,0.1
117018,117015,0.375
117019,117015,0.222
117020,117015,0.158
117001,117016,0.1
117002,117016,0.158
117003,117016,0.1
117004,117016,0.222
117005,117016,0.158
117006,117016,0.1
117007,117016,0.158
117008,117016,0.375
117009,117016,0.222
117010,117016,0.294
117011,117016,0.048
117012,117016,0.048
117013,117016,0.467
117014,117016,0.294
117015,117016,0.1
117016,117016,1
117017,117016,0.048
117018,117016,0.158
117019,117016,0.158
117020,117016,0.294
117001,117017,0.1
117002,117017,0.222
117003,117017,0.1
117004,117017,0.1
117005,117017,0.294
117006,117017,0.375
117007,117017,0.222
117008,117017,0.1
117009,117017,0.1
117010,117017,0.158
117011,117017,0.158
117012,117017,0.048
117013,117017,0.158
117014,117017,0.158
117015,117017,0.1
117016,117017,0.048
117017,117017,1
117018,117017,0
117019,117017,0.158
117020,117017,0.158
117001,117018,0.1
117002,117018,0.048
117003,117018,0.467
117004,117018,0.294
117005,117018,0.158
117006,117018,0
117007,117018,0.222
117008,117018,0.048
117009,117018,0.158
117010,117018,0.048
117011,117018,0.1
117012,117018,0.222
117013,117018,0.1
117014,117018,0.048
117015,117018,0.375
117016,117018,0.158
117017,117018,0
117018,117018,1
117019,117018,0.158
117020,117018,0.1
117001,117019,0.158
117002,117019,0.375
117003,117019,0.1
117004,117019,0.1
117005,117019,0.222
117006,117019,0.294
117007,117019,0.1
117008,117019,0.294
117009,117019,0.294
117010,117019,0.375
117011,117019,0.158
117012,117019,0.222
117013,117019,0.158
117014,117019,0.222
117015,117019,0.222
117016,117019,0.158
117017,117019,0.158
117018,117019,0.158
117019,117019,1
117020,117019,0.222
117001,117020,0.222
117002,117020,0.375
117003,117020,0.1
117004,117020,0.222
117005,117020,0.294
117006,117020,0.158
117007,117020,0.158
117008,117020,0.294
117009,117020,0.222
117010,117020,0.375
117011,117020,0.1
117012,117020,0
117013,117020,0.294
117014,117020,0.294
117015,117020,0.158
117016,117020,0.294
117017,117020,0.158
117018,117020,0.1
117019,117020,0.222
117020,117020,1
