"Group","Exemplar.Row","Exemplar.Col","Jaccard"
"P1",7,14,0.375
"P1",8,14,0.158
"P1",9,14,0.1
"P1",10,14,0.158
"P1",11,14,0.222
"P1",12,14,0.294
"P1",13,14,0.158
"P1",14,14,1
"P1",15,14,0.158
"P1",16,14,0.222
"P1",17,14,0.222
"P1",18,14,0.158
"P1",19,14,0.222
"P1",20,14,0.375
"P1",1,15,0.294
"P1",2,15,0.158
"P1",3,15,0.375
"P1",4,15,0.222
"P1",5,15,0.294
"P1",6,15,0.294
"P1",7,15,0.294
"P1",8,15,0.048
"P1",9,15,0.158
"P1",10,15,0.294
"P1",11,15,0.158
"P1",12,15,0.375
"P1",13,15,0.222
"P1",14,15,0.158
"P1",15,15,1
"P1",16,15,0.222
"P1",17,15,0.294
"P1",18,15,0.158
"P1",19,15,0.294
"P1",20,15,0.222
"P1",1,16,0.222
"P1",2,16,0.158
"P1",3,16,0.222
"P1",4,16,0.158
"P1",5,16,0.222
"P1",6,16,0.222
"P1",7,16,0.294
"P1",8,16,0.222
"P1",9,16,0.1
"P1",10,16,0.294
"P1",11,16,0.048
"P1",12,16,0.158
"P1",13,16,0.222
"P1",14,16,0.222
"P1",15,16,0.222
"P1",16,16,1
"P1",17,16,0.294
"P1",18,16,0.1
"P1",19,16,0.158
"P1",20,16,0.294
"P1",1,17,0.375
"P1",2,17,0.048
"P1",3,17,0.375
"P1",4,17,0.222
"P1",5,17,0.1
"P1",6,17,0.158
"P1",7,17,0.222
"P1",8,17,0.222
"P1",9,17,0.158
"P1",10,17,0.222
"P1",11,17,0.222
"P1",12,17,0.294
"P1",13,17,0.158
"P1",14,17,0.222
"P1",15,17,0.294
"P1",16,17,0.294
"P1",17,17,1
"P1",18,17,0.158
"P1",19,17,0.158
"P1",20,17,0.375
"P1",1,18,0.158
"P1",2,18,0.158
"P1",3,18,0.158
"P1",4,18,0.158
"P1",5,18,0.294
"P1",6,18,0.158
"P1",7,18,0.1
"P1",8,18,0.158
"P1",9,18,0.294
"P1",10,18,0.048
"P1",11,18,0.222
"P1",12,18,0.048
"P1",13,18,0.294
"P1",14,18,0.158
"P1",15,18,0.158
"P1",16,18,0.1
"P1",17,18,0.158
"P1",18,18,1
"P1",19,18,0
"P1",20,18,0.1
"P1",1,19,0.158
"P1",2,19,0.222
"P1",3,19,0.294
"P1",4,19,0.048
"P1",5,19,0.1
"P1",6,19,0.1
"P1",7,19,0.571
"P1",8,19,0.158
"P1",9,19,0.158
"P1",10,19,0.222
"P1",11,19,0.158
"P1",12,19,0.375
"P1",13,19,0.1
"P1",14,19,0.222
"P1",15,19,0.294
"P1",16,19,0.158
"P1",17,19,0.158
"P1",18,19,0
"P1",19,19,1
"P1",20,19,0.375
"P1",1,20,0.158
"P1",2,20,0.1
"P1",3,20,0.294
"P1",4,20,0.158
"P1",5,20,0.1
"P1",6,20,0.1
"P1",7,20,0.294
"P1",8,20,0.158
"P1",9,20,0.1
"P1",10,20,0.294
"P1",11,20,0.158
"P1",12,20,0.294
"P1",13,20,0.222
"P1",14,20,0.375
"P1",15,20,0.222
"P1",16,20,0.294
"P1",17,20,0.375
"P1",18,20,0.1
"P1",19,20,0.375
"P1",20,20,1
"P3M1",1,1,1
"P3M1",2,1,0.048
"P3M1",3,1,0.294
"P3M1",4,1,0.1
"P3M1",5,1,0.1
"P3M1",6,1,0.158
"P3M1",7,1,0.158
"P3M1",8,1,0.158
"P3M1",9,1,0.158
"P3M1",10,1,0.1
"P3M1",11,1,0.048
"P3M1",12,1,0.158
"P3M1",13,1,0.375
"P3M1",14,1,0.158
"P3M1",15,1,0.375
"P3M1",16,1,0.294
"P3M1",17,1,0.158
"P3M1",18,1,0.158
"P3M1",19,1,0.222
"P3M1",20,1,0.1
"P3M1",1,2,0.048
"P3M1",2,2,1
"P3M1",3,2,0.1
"P3M1",4,2,0.222
"P3M1",5,2,0.048
"P3M1",6,2,0.222
"P3M1",7,2,0.048
"P3M1",8,2,0.222
"P3M1",9,2,0.048
"P3M1",10,2,0.1
"P3M1",11,2,0.1
"P3M1",12,2,0.375
"P3M1",13,2,0.158
"P3M1",14,2,0.158
"P3M1",15,2,0.158
"P3M1",16,2,0.158
"P3M1",17,2,0.222
"P3M1",18,2,0.158
"P3M1",19,2,0
"P3M1",20,2,0.158
"P3M1",1,3,0.294
"P3M1",2,3,0.1
"P3M1",3,3,1
"P3M1",4,3,0.222
