"Exemplar.Row","Exemplar.Col","Jaccard","Group"
1,2,0.269230769230769,"P1"
1,3,0.178571428571429,"P1"
1,4,0.11864406779661,"P1"
1,5,0.222222222222222,"P1"
1,6,0.2,"P1"
1,7,0.157894736842105,"P1"
1,8,0.178571428571429,"P1"
1,9,0.245283018867925,"P1"
1,10,0.222222222222222,"P1"
1,11,0.203703703703704,"P1"
1,12,0.157894736842105,"P1"
1,13,0.2,"P1"
1,14,0.157894736842105,"P1"
1,15,0.32,"P1"
1,16,0.222222222222222,"P1"
1,17,0.269230769230769,"P1"
1,18,0.178571428571429,"P1"
1,19,0.222222222222222,"P1"
1,20,0.157894736842105,"P1"
2,3,0.178571428571429,"P1"
2,4,0.178571428571429,"P1"
2,5,0.178571428571429,"P1"
2,6,0.294117647058824,"P1"
2,7,0.157894736842105,"P1"
2,8,0.222222222222222,"P1"
2,9,0.245283018867925,"P1"
2,10,0.157894736842105,"P1"
2,11,0.326530612244898,"P1"
2,12,0.0819672131147541,"P1"
2,13,0.137931034482759,"P1"
2,14,0.2,"P1"
2,15,0.178571428571429,"P1"
2,16,0.2,"P1"
2,17,0.157894736842105,"P1"
2,18,0.178571428571429,"P1"
2,19,0.178571428571429,"P1"
2,20,0.178571428571429,"P1"
3,4,0.245283018867925,"P1"
3,5,0.178571428571429,"P1"
3,6,0.178571428571429,"P1"
3,7,0.269230769230769,"P1"
3,8,0.269230769230769,"P1"
3,9,0.222222222222222,"P1"
3,10,0.178571428571429,"P1"
3,11,0.274509803921569,"P1"
3,12,0.269230769230769,"P1"
3,13,0.137931034482759,"P1"
3,14,0.2,"P1"
3,15,0.32,"P1"
3,16,0.178571428571429,"P1"
3,17,0.294117647058824,"P1"
3,18,0.2,"P1"
3,19,0.178571428571429,"P1"
3,20,0.157894736842105,"P1"
4,5,0.269230769230769,"P1"
4,6,0.32,"P1"
4,7,0.2,"P1"
4,8,0.269230769230769,"P1"
4,9,0.245283018867925,"P1"
4,10,0.2,"P1"
4,11,0.3,"P1"
4,12,0.2,"P1"
4,13,0.178571428571429,"P1"
4,14,0.157894736842105,"P1"
4,15,0.157894736842105,"P1"
4,16,0.137931034482759,"P1"
4,17,0.2,"P1"
4,18,0.2,"P1"
4,19,0.157894736842105,"P1"
4,20,0.222222222222222,"P1"
5,6,0.222222222222222,"P1"
5,7,0.245283018867925,"P1"
5,8,0.157894736842105,"P1"
5,9,0.2,"P1"
5,10,0.178571428571429,"P1"
