Exemplar.Row,Exemplar.Col,Measure_Val,Group,measure_type
101001,101002,0.9978862829431804,P1,ssid
101001,101003,0.997836591551095,P1,ssid
101001,101004,0.9977823788468275,P1,ssid
101001,101005,0.9980840023419546,P1,ssid
101001,101006,0.9977346426547393,P1,ssid
101001,101007,0.9977822546247312,P1,ssid
101001,101008,0.9978004792360671,P1,ssid
101001,101009,0.997825494360084,P1,ssid
101001,101010,0.9979454919403207,P1,ssid
101001,101011,0.9978446660274004,P1,ssid
101001,101012,0.9976378881727438,P1,ssid
101001,101013,0.9981404772782666,P1,ssid
101001,101014,0.9978799547472073,P1,ssid
101001,101015,0.9979618994451476,P1,ssid
101001,101016,0.9977159112588614,P1,ssid
101001,101017,0.9977455051112565,P1,ssid
101001,101018,0.9979982695650624,P1,ssid
101001,101019,0.9979562241728295,P1,ssid
101001,101020,0.9978076512166619,P1,ssid
101002,101003,0.9978091619680498,P1,ssid
101002,101004,0.9978937293461153,P1,ssid
101002,101005,0.9979240815536449,P1,ssid
101002,101006,0.9977416156666286,P1,ssid
101002,101007,0.9977199729023417,P1,ssid
101002,101008,0.9975597980109913,P1,ssid
101002,101009,0.9978528794173755,P1,ssid
101002,101010,0.9978900287958782,P1,ssid
101002,101011,0.9977159395476497,P1,ssid
101002,101012,0.9977915824283284,P1,ssid
101002,101013,0.9979618528239381,P1,ssid
101002,101014,0.997873562893765,P1,ssid
101002,101015,0.9980290095024323,P1,ssid
101002,101016,0.9978699695738905,P1,ssid
101002,101017,0.9978053637947198,P1,ssid
101002,101018,0.99794340556066,P1,ssid
101002,101019,0.9976211896338505,P1,ssid
101002,101020,0.9980213572745475,P1,ssid
101003,101004,0.997613536227269,P1,ssid
101003,101005,0.9978305708911417,P1,ssid
101003,101006,0.99774283520334,P1,ssid
101003,101007,0.9976534056560714,P1,ssid
101003,101008,0.9979133981595246,P1,ssid
101003,101009,0.9980539648626057,P1,ssid
101003,101010,0.9979006217382426,P1,ssid
101003,101011,0.997709073664305,P1,ssid
101003,101012,0.9976841845790528,P1,ssid
101003,101013,0.99799890145467,P1,ssid
101003,101014,0.998091154508256,P1,ssid
101003,101015,0.9977061207413452,P1,ssid
101003,101016,0.9978085625884353,P1,ssid
101003,101017,0.9978601791889011,P1,ssid
101003,101018,0.9978145092287594,P1,ssid
101003,101019,0.9978374802193724,P1,ssid
101003,101020,0.9976747861851759,P1,ssid
